7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.9,10.0,4.7,0.5
7.91,9.92,4.3,0.42,7.92,10.0,4.5,0.51
7.99,10.7,4.3,0.39,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
8.04,10.9,4.0,0.4,7.91,9.92,4.3,0.42
8.03,10.8,4.5,0.55,7.99,10.7,4.3,0.39
7.97,10.1,4.8,0.55,8.04,10.9,4.0,0.4
7.99,10.1,5.1,0.51,8.03,10.8,4.5,0.55
7.96,10.0,5.2,0.65,7.97,10.1,4.8,0.55
7.98,9.95,5.0,0.56,7.99,10.1,5.1,0.51
7.85,9.81,4.9,0.45,7.96,10.0,5.2,0.65
7.81,9.91,4.8,0.49,7.98,9.95,5.0,0.56
7.76,9.86,4.5,0.8,7.85,9.81,4.9,0.45
7.89,9.83,4.1,0.8,7.81,9.91,4.8,0.49
7.93,9.75,4.9,0.8,7.76,9.86,4.5,0.8
7.95,9.16,5.1,0.88,7.89,9.83,4.1,0.8
7.93,9.81,5.3,0.8,7.93,9.75,4.9,0.8
7.93,9.78,4.8,0.71,7.95,9.16,5.1,0.88
7.89,9.84,5.1,0.41,7.93,9.81,5.3,0.8
7.92,9.96,4.9,0.48,7.93,9.78,4.8,0.71
7.93,9.97,5.0,0.44,7.89,9.84,5.1,0.41
7.95,9.91,4.9,0.45,7.92,9.96,4.9,0.48
7.97,9.97,4.7,0.47,7.93,9.97,5.0,0.44
7.92,9.86,4.9,0.44,7.95,9.91,4.9,0.45
7.89,9.92,4.9,0.45,7.97,9.97,4.7,0.47
7.92,9.89,4.7,0.54,7.92,9.86,4.9,0.44
7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.89,9.92,4.9,0.45
7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.92,9.89,4.7,0.54
7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
7.96,9.94,5.1,0.64,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
7.89,9.61,5.2,0.59,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
7.96,9.68,5.4,0.58,7.96,9.94,5.1,0.64
7.87,9.79,5.4,0.66,7.89,9.61,5.2,0.59
7.87,9.78,5.7,0.65,7.96,9.68,5.4,0.58
7.94,9.78,5.5,0.59,7.87,9.79,5.4,0.66
7.84,9.78,4.7,0.59,7.87,9.78,5.7,0.65
7.9,9.76,4.8,0.61,7.94,9.78,5.5,0.59
7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.84,9.78,4.7,0.59
7.91,9.81,3.4,0.64,7.9,9.76,4.8,0.61
7.9,9.81,4.3,0.62,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
7.87,9.83,4.7,0.58,7.91,9.81,3.4,0.64
7.84,9.81,5.2,0.6,7.9,9.81,4.3,0.62
7.89,9.81,4.5,0.54,7.87,9.83,4.7,0.58
7.91,9.82,5.1,0.13,7.84,9.81,5.2,0.6
7.89,9.5,3.8,0.07,7.89,9.81,4.5,0.54
7.8,9.34,4.6,0.08,7.91,9.82,5.1,0.13
7.85,8.95,4.1,0.1,7.89,9.5,3.8,0.07
7.88,8.88,4.2,0.1,7.8,9.34,4.6,0.08
7.87,8.81,4.4,0.13,7.85,8.95,4.1,0.1
7.85,8.76,4.4,0.12,7.88,8.88,4.2,0.1
7.87,8.54,4.4,0.24,7.87,8.81,4.4,0.13
7.83,8.58,4.5,0.19,7.85,8.76,4.4,0.12
7.85,8.8,4.3,0.36,7.87,8.54,4.4,0.24
7.9,9.89,4.2,0.53,7.83,8.58,4.5,0.19
7.98,9.96,4.1,0.45,7.85,8.8,4.3,0.36
7.96,9.93,3.7,0.67,7.9,9.89,4.2,0.53
8.01,9.91,5.2,0.68,7.98,9.96,4.1,0.45
7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398,7.96,9.93,3.7,0.67
7.94,9.84,4.7,0.88,8.01,9.91,5.2,0.68
7.93,9.41,4.6,0.85,7.867022160664808,9.086786703601101,3.9066574202496587,0.2800277392510398
7.99,9.81,4.9,1.49,7.94,9.84,4.7,0.88
7.95,9.02,5.4,1.39,7.93,9.41,4.6,0.85
7.88,9.23,5.9,1.19,7.99,9.81,4.9,1.49
7.85,9.07,5.2,1.33,7.95,9.02,5.4,1.39
7.9,9.3,4.7,0.97,7.88,9.23,5.9,1.19
7.89,8.76,4.4,0.23,7.85,9.07,5.2,1.33
7.92,8.68,4.7,0.23,7.9,9.3,4.7,0.97
7.93,9.22,4.4,0.14,7.89,8.76,4.4,0.23
7.93,9.07,4.4,0.29,7.92,8.68,4.7,0.23
7.93,8.96,4.2,0.2,7.93,9.22,4.4,0.14
7.96,9.11,5.7,0.32,7.93,9.07,4.4,0.29
7.9,9.73,5.7,0.13,7.93,8.96,4.2,0.2
7.98,9.57,6.6,0.15,7.96,9.11,5.7,0.32
