8.31,11.5,1.1,0.08,8.27,10.9,1.1,0.05,8.25,11.0,1.1,0.06
8.3,11.5,1.1,0.09,8.25,11.0,1.1,0.06,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
8.28,11.5,1.2,0.06,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,8.31,11.5,1.1,0.08
8.25,11.8,1.2,0.04,8.31,11.5,1.1,0.08,8.3,11.5,1.1,0.09
8.18,11.7,1.1,0.05,8.3,11.5,1.1,0.09,8.28,11.5,1.2,0.06
8.15,11.9,1.2,0.06,8.28,11.5,1.2,0.06,8.25,11.8,1.2,0.04
8.12,12.4,1.2,0.07,8.25,11.8,1.2,0.04,8.18,11.7,1.1,0.05
8.02,11.9,1.1,0.06,8.18,11.7,1.1,0.05,8.15,11.9,1.2,0.06
7.94,11.7,1.2,0.04,8.15,11.9,1.2,0.06,8.12,12.4,1.2,0.07
7.88,11.1,1.4,0.06,8.12,12.4,1.2,0.07,8.02,11.9,1.1,0.06
7.83,10.5,1.2,0.05,8.02,11.9,1.1,0.06,7.94,11.7,1.2,0.04
8.0,10.1,1.1,0.03,7.94,11.7,1.2,0.04,7.88,11.1,1.4,0.06
7.98,9.35,1.0,0.05,7.88,11.1,1.4,0.06,7.83,10.5,1.2,0.05
8.16,9.19,1.0,0.05,7.83,10.5,1.2,0.05,8.0,10.1,1.1,0.03
8.24,9.42,1.1,0.04,8.0,10.1,1.1,0.03,7.98,9.35,1.0,0.05
8.16,9.3,1.1,0.04,7.98,9.35,1.0,0.05,8.16,9.19,1.0,0.05
8.23,8.72,1.0,0.05,8.16,9.19,1.0,0.05,8.24,9.42,1.1,0.04
8.17,8.39,1.0,0.05,8.24,9.42,1.1,0.04,8.16,9.3,1.1,0.04
8.05,8.15,0.9,0.04,8.16,9.3,1.1,0.04,8.23,8.72,1.0,0.05
7.91,7.98,0.9,0.04,8.23,8.72,1.0,0.05,8.17,8.39,1.0,0.05
7.78,7.95,0.9,0.04,8.17,8.39,1.0,0.05,8.05,8.15,0.9,0.04
7.79,7.99,1.0,0.03,8.05,8.15,0.9,0.04,7.91,7.98,0.9,0.04
7.77,8.09,0.9,0.04,7.91,7.98,0.9,0.04,7.78,7.95,0.9,0.04
