8.4,7.23,11.9,1.59,8.58,7.53,12.0,1.74
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,8.4,7.23,11.9,1.59
8.35,4.94,19.0,1.96,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
8.37,6.87,15.5,2.43,8.35,4.94,19.0,1.96
8.37,6.0,18.0,2.35,8.37,6.87,15.5,2.43
8.27,6.68,13.4,2.59,8.37,6.0,18.0,2.35
8.38,5.04,19.0,2.03,8.27,6.68,13.4,2.59
8.4,4.41,19.5,2.35,8.38,5.04,19.0,2.03
8.29,5.15,17.9,1.67,8.4,4.41,19.5,2.35
7.81,4.95,12.2,1.98,8.29,5.15,17.9,1.67
7.85,5.4,25.7,0.64,7.81,4.95,12.2,1.98
8.03,1.89,31.9,0.7,7.85,5.4,25.7,0.64
8.11,2.9,25.7,1.98,8.03,1.89,31.9,0.7
8.3,6.91,14.5,1.71,8.11,2.9,25.7,1.98
7.72,7.4,14.6,0.3,8.3,6.91,14.5,1.71
7.61,3.0,19.1,1.8,7.72,7.4,14.6,0.3
7.81,2.31,17.6,1.77,7.61,3.0,19.1,1.8
7.76,3.59,16.7,2.08,7.81,2.31,17.6,1.77
7.84,3.86,15.1,1.61,7.76,3.59,16.7,2.08
8.13,5.85,18.7,1.98,7.84,3.86,15.1,1.61
8.24,3.85,20.2,1.96,8.13,5.85,18.7,1.98
7.66,4.27,17.5,1.62,8.24,3.85,20.2,1.96
7.59,5.58,9.4,0.98,7.66,4.27,17.5,1.62
7.64,5.14,4.5,1.29,7.59,5.58,9.4,0.98
7.52,6.58,5.5,1.18,7.64,5.14,4.5,1.29
7.65,4.92,7.1,1.35,7.52,6.58,5.5,1.18
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,7.65,4.92,7.1,1.35
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.57,4.68,9.4,0.79,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.54,6.31,5.6,0.82,7.57,4.68,9.4,0.79
7.44,6.25,5.3,0.74,7.54,6.31,5.6,0.82
7.41,7.78,6.0,0.72,7.44,6.25,5.3,0.74
7.58,6.29,4.2,0.88,7.41,7.78,6.0,0.72
7.67,5.84,3.4,0.88,7.58,6.29,4.2,0.88
7.83,6.39,3.7,0.71,7.67,5.84,3.4,0.88
7.84,7.49,4.5,0.16,7.83,6.39,3.7,0.71
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,7.84,7.49,4.5,0.16
7.87,7.98,4.9,0.11,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.86,8.97,5.0,0.12,7.87,7.98,4.9,0.11
7.66,9.85,4.0,0.13,7.86,8.97,5.0,0.12
7.84,8.26,3.5,0.16,7.66,9.85,4.0,0.13
7.92,7.48,8.6,0.27,7.84,8.26,3.5,0.16
7.94,5.38,19.5,0.33,7.92,7.48,8.6,0.27
7.89,6.8,19.5,0.32,7.94,5.38,19.5,0.33
7.96,6.12,22.7,0.54,7.89,6.8,19.5,0.32
8.08,10.0,14.8,0.5,7.96,6.12,22.7,0.54
8.11,9.95,14.3,0.58,8.08,10.0,14.8,0.5
8.05,7.42,23.9,0.86,8.11,9.95,14.3,0.58
7.99,5.41,27.2,1.67,8.05,7.42,23.9,0.86
8.14,7.96,28.3,2.18,7.99,5.41,27.2,1.67
8.14,11.1,18.5,1.14,8.14,7.96,28.3,2.18
8.21,8.68,36.2,1.78,8.14,11.1,18.5,1.14
8.16,6.46,44.0,2.4,8.21,8.68,36.2,1.78
8.18,5.18,25.8,2.64,8.16,6.46,44.0,2.4
8.15,4.98,22.2,2.88,8.18,5.18,25.8,2.64
8.27,11.7,10.0,1.15,8.15,4.98,22.2,2.88
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,8.27,11.7,10.0,1.15
8.05,10.9,8.8,0.64,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.86,4.3,9.7,0.55,8.05,10.9,8.8,0.64
8.39,8.41,7.9,1.06,7.86,4.3,9.7,0.55
8.42,12.2,5.3,0.76,8.39,8.41,7.9,1.06
7.76,8.5,4.5,0.76,8.42,12.2,5.3,0.76
7.48,8.64,4.1,0.56,7.76,8.5,4.5,0.76
7.41,7.87,5.7,0.28,7.48,8.64,4.1,0.56
7.46,6.94,4.5,0.19,7.41,7.87,5.7,0.28
7.3,5.51,3.9,0.39,7.46,6.94,4.5,0.19
7.29,7.12,2.5,0.1,7.3,5.51,3.9,0.39
7.27,8.96,3.1,0.27,7.29,7.12,2.5,0.1
7.34,8.53,6.0,0.59,7.27,8.96,3.1,0.27
7.45,4.52,4.7,0.26,7.34,8.53,6.0,0.59
7.01,5.23,7.3,0.3,7.45,4.52,4.7,0.26
6.92,4.97,7.2,0.22,7.01,5.23,7.3,0.3
7.05,5.64,5.8,0.22,6.92,4.97,7.2,0.22
7.12,7.6,4.1,0.2,7.05,5.64,5.8,0.22
7.04,7.3,3.8,0.19,7.12,7.6,4.1,0.2
7.4,8.08,5.5,0.16,7.04,7.3,3.8,0.19
7.4,4.92,6.3,0.2,7.4,8.08,5.5,0.16
7.67,5.3,6.5,0.26,7.4,4.92,6.3,0.2
7.69,5.03,9.6,0.63,7.67,5.3,6.5,0.26
7.78,5.69,8.4,0.49,7.69,5.03,9.6,0.63
7.28,5.79,5.8,0.14,7.78,5.69,8.4,0.49
7.62,6.31,8.8,0.14,7.28,5.79,5.8,0.14
7.59,6.12,6.3,0.09,7.62,6.31,8.8,0.14
7.64,5.73,6.8,0.09,7.59,6.12,6.3,0.09
6.96,5.04,5.4,0.18,7.64,5.73,6.8,0.09
7.24,4.59,3.7,0.18,6.96,5.04,5.4,0.18
7.58,5.95,3.3,0.17,7.24,4.59,3.7,0.18
7.51,8.43,4.6,0.17,7.58,5.95,3.3,0.17
7.35,6.73,5.8,0.08,7.51,8.43,4.6,0.17
7.29,8.02,6.9,0.09,7.35,6.73,5.8,0.08
7.11,6.93,5.1,0.1,7.29,8.02,6.9,0.09
7.77,6.97,6.3,0.15,7.11,6.93,5.1,0.1
7.71,5.8,6.2,0.25,7.77,6.97,6.3,0.15
7.71,5.8,6.2,0.25,7.71,5.8,6.2,0.25
7.92,10.5,3.4,0.12,7.71,5.8,6.2,0.25
7.88,6.86,3.0,0.13,7.92,10.5,3.4,0.12
7.84,20.0,2.9,0.17,7.88,6.86,3.0,0.13
7.77,6.89,2.9,0.2,7.84,20.0,2.9,0.17
7.59,9.28,2.7,0.19,7.77,6.89,2.9,0.2
7.43,8.44,3.3,0.23,7.59,9.28,2.7,0.19
7.41,12.5,4.9,0.35,7.43,8.44,3.3,0.23
7.5,9.35,4.9,0.35,7.41,12.5,4.9,0.35
7.73,5.25,5.8,0.42,7.5,9.35,4.9,0.35
8.24,4.57,5.6,0.89,7.73,5.25,5.8,0.42
8.06,5.87,6.7,1.02,8.24,4.57,5.6,0.89
7.82,6.0,7.4,1.24,8.06,5.87,6.7,1.02
8.3,5.9,6.5,1.41,7.82,6.0,7.4,1.24
8.34,4.41,7.8,1.67,8.3,5.9,6.5,1.41
8.41,4.92,5.0,1.39,8.34,4.41,7.8,1.67
7.95,4.29,6.1,1.75,8.41,4.92,5.0,1.39
7.96,4.42,5.6,0.96,7.95,4.29,6.1,1.75
7.9,5.03,5.4,0.97,7.96,4.42,5.6,0.96
7.74,5.16,4.9,1.16,7.9,5.03,5.4,0.97
7.76,4.62,5.1,0.38,7.74,5.16,4.9,1.16
7.85,5.07,6.7,1.15,7.76,4.62,5.1,0.38
7.7,5.52,6.1,0.4,7.85,5.07,6.7,1.15
7.45,3.1,7.1,0.7,7.7,5.52,6.1,0.4
7.45,3.76,7.3,0.42,7.45,3.1,7.1,0.7
8.01,4.68,8.5,0.27,7.45,3.76,7.3,0.42
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,8.01,4.68,8.5,0.27
7.55,3.86,7.9,0.27,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.37,5.11,5.8,0.42,7.55,3.86,7.9,0.27
7.27,4.26,7.0,0.4,7.37,5.11,5.8,0.42
7.87,4.22,7.0,0.67,7.27,4.26,7.0,0.4
7.81,4.65,7.4,0.08,7.87,4.22,7.0,0.67
7.55,4.37,8.0,0.1,7.81,4.65,7.4,0.08
7.79,3.26,10.4,0.16,7.55,4.37,8.0,0.1
7.42,3.3,9.4,0.34,7.79,3.26,10.4,0.16
7.12,2.68,7.5,0.14,7.42,3.3,9.4,0.34
6.59,3.11,6.6,0.25,7.12,2.68,7.5,0.14
7.45,5.83,6.7,0.09,6.59,3.11,6.6,0.25
7.5,4.81,4.8,0.27,7.45,5.83,6.7,0.09
7.26,6.74,5.2,0.22,7.5,4.81,4.8,0.27
7.28,7.89,5.4,0.16,7.26,6.74,5.2,0.22
7.29,8.63,5.0,0.2,7.28,7.89,5.4,0.16
7.72,8.41,5.0,0.21,7.29,8.63,5.0,0.2
8.1,3.71,7.0,0.23,7.72,8.41,5.0,0.21
7.87,4.57,5.9,0.29,8.1,3.71,7.0,0.23
7.74,4.21,5.1,0.22,7.87,4.57,5.9,0.29
7.93,6.38,4.0,0.39,7.74,4.21,5.1,0.22
7.83,5.55,4.4,0.1,7.93,6.38,4.0,0.39
7.85,8.27,4.5,0.06,7.83,5.55,4.4,0.1
7.97,9.36,5.1,0.27,7.85,8.27,4.5,0.06
7.61,8.32,5.5,0.25,7.97,9.36,5.1,0.27
8.18,5.8,7.3,0.12,7.61,8.32,5.5,0.25
8.4,6.7,7.8,0.25,8.18,5.8,7.3,0.12
8.11,6.6,7.7,0.09,8.4,6.7,7.8,0.25
8.39,7.05,7.2,0.04,8.11,6.6,7.7,0.09
8.28,6.6,4.1,0.11,8.39,7.05,7.2,0.04
8.23,7.0645310245310196,4.0,0.27,8.28,6.6,4.1,0.11
8.27,15.7,4.3,0.66,8.23,7.0645310245310196,4.0,0.27
8.28,8.2,3.7,0.57,8.27,15.7,4.3,0.66
8.33,6.3,4.6,0.86,8.28,8.2,3.7,0.57
8.45,7.3,4.4,0.49,8.33,6.3,4.6,0.86
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,8.45,7.3,4.4,0.49
7.92,5.7,6.1,0.8,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
7.76,5.02,4.9,0.47,7.92,5.7,6.1,0.8
7.97,3.8,8.3,0.67,7.76,5.02,4.9,0.47
8.36,5.48,12.0,0.95,7.97,3.8,8.3,0.67
8.57,8.44,7.8,0.44,8.36,5.48,12.0,0.95
8.45,4.95,7.7,0.66,8.57,8.44,7.8,0.44
7.89,3.18,7.6,0.9,8.45,4.95,7.7,0.66
7.9,3.14,8.1,0.8,7.89,3.18,7.6,0.9
7.68,3.57,5.2,0.88,7.9,3.14,8.1,0.8
7.6,3.41,5.7,1.5,7.68,3.57,5.2,0.88
7.72,3.05,2.7,0.66,7.6,3.41,5.7,1.5
7.93,5.86,4.1,0.54,7.72,3.05,2.7,0.66
7.67,3.5,3.5,0.35,7.93,5.86,4.1,0.54
7.6,3.97,4.6,0.16,7.67,3.5,3.5,0.35
7.96,4.06,4.9,0.21,7.6,3.97,4.6,0.16
7.6,5.6,4.3,0.29,7.96,4.06,4.9,0.21
8.66,5.4,4.7,0.12,7.6,5.6,4.3,0.29
7.61,5.5,6.3,0.14,8.66,5.4,4.7,0.12
8.0,6.1,8.6,0.24,7.61,5.5,6.3,0.14
7.28,6.89,6.5,0.07,8.0,6.1,8.6,0.24
7.66,4.32,6.1,0.41,7.28,6.89,6.5,0.07
7.5,4.55,5.8,0.27,7.66,4.32,6.1,0.41
7.43,3.55,5.5,0.56,7.5,4.55,5.8,0.27
7.25,3.98,5.5,0.48,7.43,3.55,5.5,0.56
7.25,4.84,7.0,0.35,7.25,3.98,5.5,0.48
7.25,6.69,7.1,0.65,7.25,4.84,7.0,0.35
7.15,5.93,4.0,0.42,7.25,6.69,7.1,0.65
6.92,5.16,4.7,0.27,7.15,5.93,4.0,0.42
6.93,3.14,4.2,0.4,6.92,5.16,4.7,0.27
6.88,4.59,3.4,0.27,6.93,3.14,4.2,0.4
7.32,6.45,4.5,0.53,6.88,4.59,3.4,0.27
7.15,5.46,5.9,0.33,7.32,6.45,4.5,0.53
7.34,6.35,5.4,0.19,7.15,5.46,5.9,0.33
7.47,7.68,5.2,0.26,7.34,6.35,5.4,0.19
7.5,7.73,5.0,0.16,7.47,7.68,5.2,0.26
7.43,6.82,7.2,0.21,7.5,7.73,5.0,0.16
7.62,7.84,6.8,0.41,7.43,6.82,7.2,0.21
7.66,7.49,7.3,0.1,7.62,7.84,6.8,0.41
7.26,6.73,7.0,0.31,7.66,7.49,7.3,0.1
7.17,4.92,4.7,1.26,7.26,6.73,7.0,0.31
7.4,5.28,4.3,1.16,7.17,4.92,4.7,1.26
7.62,6.55,5.1,0.52,7.4,5.28,4.3,1.16
7.42,7.01,6.7,0.48,7.62,6.55,5.1,0.52
7.79,8.13,6.4,0.79,7.42,7.01,6.7,0.48
7.89,8.26,4.2,0.6948179271708675,7.79,8.13,6.4,0.79
7.79,7.25,5.4,0.37,7.89,8.26,4.2,0.6948179271708675
7.78,7.75,4.8,0.64,7.79,7.25,5.4,0.37
7.76,8.24,5.0,0.43,7.78,7.75,4.8,0.64
8.02,9.2,3.6,0.6,7.76,8.24,5.0,0.43
7.68,8.2,5.8,0.36,8.02,9.2,3.6,0.6
7.54,8.31,5.0,0.32,7.68,8.2,5.8,0.36
7.59,9.14,4.6,0.4,7.54,8.31,5.0,0.32
7.71,9.52,4.2,0.45,7.59,9.14,4.6,0.4
7.58,9.54,3.9,0.29,7.71,9.52,4.2,0.45
7.82,9.78,5.3,0.57,7.58,9.54,3.9,0.29
8.07,10.6,4.2,0.77,7.82,9.78,5.3,0.57
