8.6,13.6,4.6,1.4,8.11,12.9,4.6,1.14,7.79,11.6,3.3,0.78
8.21,12.9,3.3,1.18,7.79,11.6,3.3,0.78,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
7.88,10.7,3.5,1.58,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,8.39,13.3,5.4,0.75
7.82,11.7,3.4,1.09,8.39,13.3,5.4,0.75,8.47,13.0,3.2,1.11
7.78,12.2,4.0,1.12,8.47,13.0,3.2,1.11,8.6,13.6,4.6,1.4
7.63,11.2,4.2,1.46,8.6,13.6,4.6,1.4,8.21,12.9,3.3,1.18
7.27,10.1,3.8,1.02,8.21,12.9,3.3,1.18,7.88,10.7,3.5,1.58
6.92,9.48,3.3,0.7,7.88,10.7,3.5,1.58,7.82,11.7,3.4,1.09
7.08,7.29,4.0,2.38,7.82,11.7,3.4,1.09,7.78,12.2,4.0,1.12
7.01,6.92,4.0,2.1,7.78,12.2,4.0,1.12,7.63,11.2,4.2,1.46
6.94,6.58,3.3,0.94,7.63,11.2,4.2,1.46,7.27,10.1,3.8,1.02
6.97,7.43,3.3,0.55,7.27,10.1,3.8,1.02,6.92,9.48,3.3,0.7
6.92,8.0,3.1,0.6,6.92,9.48,3.3,0.7,7.08,7.29,4.0,2.38
7.01,8.5,3.5,0.59,7.08,7.29,4.0,2.38,7.01,6.92,4.0,2.1
6.99,7.67,3.1,0.68,7.01,6.92,4.0,2.1,6.94,6.58,3.3,0.94
7.02,8.15,4.1,0.69,6.94,6.58,3.3,0.94,6.97,7.43,3.3,0.55
6.72,6.44,3.0,0.7,6.97,7.43,3.3,0.55,6.92,8.0,3.1,0.6
6.87,7.28,3.1,0.73,6.92,8.0,3.1,0.6,7.01,8.5,3.5,0.59
7.33,9.9,3.4,0.79,7.01,8.5,3.5,0.59,6.99,7.67,3.1,0.68
7.15,8.27,4.6,0.91,6.99,7.67,3.1,0.68,7.02,8.15,4.1,0.69
7.74,6.69,3.3,0.67,7.02,8.15,4.1,0.69,6.72,6.44,3.0,0.7
7.52,5.69,3.7,0.69,6.72,6.44,3.0,0.7,6.87,7.28,3.1,0.73
7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,6.87,7.28,3.1,0.73,7.33,9.9,3.4,0.79
7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.33,9.9,3.4,0.79,7.15,8.27,4.6,0.91
