7.9,10.8,5.2,0.84,8.01,9.41,5.2,0.5,7.93,9.5,5.8,0.53,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.73,9.98,6.1,0.7,7.93,9.5,5.8,0.53,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,8.01,10.9,1.2,0.7
7.83,9.55,5.6,0.66,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,8.01,10.9,1.2,0.7,7.9,10.8,5.2,0.84
8.01,8.9,6.8,0.59,8.01,10.9,1.2,0.7,7.9,10.8,5.2,0.84,7.73,9.98,6.1,0.7
7.97,7.27,7.0,0.59,7.9,10.8,5.2,0.84,7.73,9.98,6.1,0.7,7.83,9.55,5.6,0.66
7.94,7.78,5.0,0.74,7.73,9.98,6.1,0.7,7.83,9.55,5.6,0.66,8.01,8.9,6.8,0.59
7.87,8.79,4.8,0.55,7.83,9.55,5.6,0.66,8.01,8.9,6.8,0.59,7.97,7.27,7.0,0.59
7.97,8.27,5.5,0.4,8.01,8.9,6.8,0.59,7.97,7.27,7.0,0.59,7.94,7.78,5.0,0.74
7.87,8.46,5.3,0.4,7.97,7.27,7.0,0.59,7.94,7.78,5.0,0.74,7.87,8.79,4.8,0.55
8.13,7.72,2.9,0.37,7.94,7.78,5.0,0.74,7.87,8.79,4.8,0.55,7.97,8.27,5.5,0.4
8.17,7.69,3.9,0.38,7.87,8.79,4.8,0.55,7.97,8.27,5.5,0.4,7.87,8.46,5.3,0.4
8.07,6.96,3.8,0.42,7.97,8.27,5.5,0.4,7.87,8.46,5.3,0.4,8.13,7.72,2.9,0.37
8.04,6.75,3.4,0.39,7.87,8.46,5.3,0.4,8.13,7.72,2.9,0.37,8.17,7.69,3.9,0.38
7.96,6.38,2.7,0.55,8.13,7.72,2.9,0.37,8.17,7.69,3.9,0.38,8.07,6.96,3.8,0.42
7.94,7.2,2.1,0.34,8.17,7.69,3.9,0.38,8.07,6.96,3.8,0.42,8.04,6.75,3.4,0.39
7.69,6.09,4.6,0.35,8.07,6.96,3.8,0.42,8.04,6.75,3.4,0.39,7.96,6.38,2.7,0.55
7.43,5.83,3.9,0.28,8.04,6.75,3.4,0.39,7.96,6.38,2.7,0.55,7.94,7.2,2.1,0.34
7.62,6.56,2.6,0.25,7.96,6.38,2.7,0.55,7.94,7.2,2.1,0.34,7.69,6.09,4.6,0.35
7.27,6.81,2.7,0.22,7.94,7.2,2.1,0.34,7.69,6.09,4.6,0.35,7.43,5.83,3.9,0.28
7.35,7.13,2.4,0.22,7.69,6.09,4.6,0.35,7.43,5.83,3.9,0.28,7.62,6.56,2.6,0.25
7.32,6.91,2.5,0.2,7.43,5.83,3.9,0.28,7.62,6.56,2.6,0.25,7.27,6.81,2.7,0.22
7.31,6.85,2.1,0.19,7.62,6.56,2.6,0.25,7.27,6.81,2.7,0.22,7.35,7.13,2.4,0.22
7.38,6.85,2.1,0.22,7.27,6.81,2.7,0.22,7.35,7.13,2.4,0.22,7.32,6.91,2.5,0.2
7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.35,7.13,2.4,0.22,7.32,6.91,2.5,0.2,7.31,6.85,2.1,0.19
7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.32,6.91,2.5,0.2,7.31,6.85,2.1,0.19,7.38,6.85,2.1,0.22
7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.31,6.85,2.1,0.19,7.38,6.85,2.1,0.22,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.89,7.28,1.5,0.23,7.38,6.85,2.1,0.22,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.27,6.71,1.9,0.2,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.18,7.38,2.0,0.2,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.89,7.28,1.5,0.23
7.1,6.53,2.1,0.22,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.89,7.28,1.5,0.23,7.27,6.71,1.9,0.2
7.33,6.82,2.5,0.21,7.89,7.28,1.5,0.23,7.27,6.71,1.9,0.2,7.18,7.38,2.0,0.2
7.57,6.92,1.8,0.2,7.27,6.71,1.9,0.2,7.18,7.38,2.0,0.2,7.1,6.53,2.1,0.22
7.69,7.71,1.7,0.21,7.18,7.38,2.0,0.2,7.1,6.53,2.1,0.22,7.33,6.82,2.5,0.21
7.7,8.0,2.1,0.17,7.1,6.53,2.1,0.22,7.33,6.82,2.5,0.21,7.57,6.92,1.8,0.2
7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.33,6.82,2.5,0.21,7.57,6.92,1.8,0.2,7.69,7.71,1.7,0.21
7.75,7.88,2.1,0.12,7.57,6.92,1.8,0.2,7.69,7.71,1.7,0.21,7.7,8.0,2.1,0.17
7.91,8.76,1.7,0.06,7.69,7.71,1.7,0.21,7.7,8.0,2.1,0.17,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.96,8.31,2.6,0.09,7.7,8.0,2.1,0.17,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.75,7.88,2.1,0.12
8.04,7.95,6.1,0.22,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.75,7.88,2.1,0.12,7.91,8.76,1.7,0.06
8.16,7.04,8.3,0.24,7.75,7.88,2.1,0.12,7.91,8.76,1.7,0.06,7.96,8.31,2.6,0.09
8.16,5.82,8.4,0.22,7.91,8.76,1.7,0.06,7.96,8.31,2.6,0.09,8.04,7.95,6.1,0.22
8.04,5.81,9.7,0.29,7.96,8.31,2.6,0.09,8.04,7.95,6.1,0.22,8.16,7.04,8.3,0.24
8.03,7.3,9.2,0.27,8.04,7.95,6.1,0.22,8.16,7.04,8.3,0.24,8.16,5.82,8.4,0.22
8.27,8.12,7.8,0.41,8.16,7.04,8.3,0.24,8.16,5.82,8.4,0.22,8.04,5.81,9.7,0.29
8.37,8.53,6.4,0.28,8.16,5.82,8.4,0.22,8.04,5.81,9.7,0.29,8.03,7.3,9.2,0.27
8.55,8.77,5.2,0.27,8.04,5.81,9.7,0.29,8.03,7.3,9.2,0.27,8.27,8.12,7.8,0.41
8.52,8.58,9.0,0.34,8.03,7.3,9.2,0.27,8.27,8.12,7.8,0.41,8.37,8.53,6.4,0.28
8.36,9.24,8.5,0.34,8.27,8.12,7.8,0.41,8.37,8.53,6.4,0.28,8.55,8.77,5.2,0.27
